Date,Open,High,Low,Close,Adj Close,Volume
6/3/2021,210.75,210.75,208.699997,209.050003,194.243332,46657520
6/4/2021,209.5,209.699997,208,208.75,193.964584,30126021
6/7/2021,210.399994,212.399994,210.199997,211.449997,196.473343,31433280
6/8/2021,212.199997,214.25,211.199997,213.649994,198.517502,21261361
6/9/2021,214,214.75,211.5,212.5,197.448975,24887924
6/10/2021,208.699997,211.399994,207.5,209.300003,199.884262,30719587
6/11/2021,210.300003,210.449997,207.75,207.899994,198.547241,21424291
6/14/2021,207.949997,208.449997,205.199997,207.300003,197.974243,17677889
6/15/2021,207.550003,208.399994,207,207.050003,197.735489,14854294
6/16/2021,207.050003,209.350006,207.050003,207.850006,198.499496,20104244
6/17/2021,206.949997,208,205,205.649994,196.398453,21476893
6/18/2021,206,206.449997,202.5,204.550003,195.347946,23567549
6/21/2021,203.100006,206,202.399994,204.449997,195.252441,19074685
6/22/2021,206.100006,206.25,204.350006,205.100006,195.873199,18042675
6/23/2021,205.649994,205.850006,203.600006,203.949997,194.774948,12575210
6/24/2021,204.449997,204.649994,202.550003,203.25,194.10643,22435272
6/25/2021,204,205.600006,203.75,205.050003,195.825455,13877208
6/28/2021,205.899994,205.899994,203.350006,203.600006,194.440689,14627153
6/29/2021,203.600006,205.300003,203.149994,203.300003,194.15419,13326068
6/30/2021,204.300003,204.399994,202.550003,202.699997,193.581177,15942408
7/1/2021,202.899994,203.800003,202.149994,203,193.867676,10191296
7/2/2021,203.300003,203.699997,202.25,202.399994,193.294662,12698779
7/5/2021,203,204.100006,202.699997,203.649994,194.488434,10248249
7/6/2021,203.25,203.800003,202.25,202.5,193.390167,11088659
7/7/2021,202.5,205.199997,202.300003,203.75,194.583939,17879443
7/8/2021,203.5,204.5,201.800003,202,192.912659,20925008
7/9/2021,202,202.350006,200.899994,201.350006,192.291916,11834045
7/12/2021,202,202.550003,200.949997,201.100006,192.053162,13085323
7/13/2021,202,202.199997,201.350006,201.850006,192.769424,10830411
7/14/2021,201.850006,205.149994,201.699997,204.100006,194.918198,20480406
7/15/2021,204.399994,208.5,202.899994,206.25,196.971466,28852257
7/16/2021,207.699997,209.649994,207.199997,207.899994,198.547241,29019824
7/19/2021,206.800003,209.5,206.350006,207.75,198.403992,16464973
7/20/2021,208.199997,209.300003,206.399994,206.800003,197.496735,23656813
7/22/2021,207,208.25,205.850006,207,197.687729,18311537
7/23/2021,207,213.600006,206.5,212.399994,202.844788,44526781
7/26/2021,214,215.350006,210.800003,211.149994,201.651016,47263771
7/27/2021,212,213,207.949997,208.649994,199.263504,24436949
7/28/2021,208.300003,210,207.449997,209.100006,199.693268,14736840
7/29/2021,209.100006,210.199997,205.649994,206.050003,196.780472,15603733
7/30/2021,206.100006,207.100006,204.600006,204.949997,195.72995,14940336
8/2/2021,206.449997,207.5,205.449997,207.300003,197.974243,9674128
8/3/2021,207.5,210.899994,206.449997,209.899994,200.457275,18468527
8/4/2021,210.899994,211.100006,208.100006,208.600006,199.215759,10998260
8/5/2021,208.600006,216.75,206.899994,215.25,205.566589,47178466
8/6/2021,215.399994,216,212.600006,214.25,204.611572,23581637
8/9/2021,215,217.149994,212.699997,213.800003,204.181824,20358146
8/10/2021,214,214.449997,208.550003,209.850006,200.409531,18155926
8/11/2021,209.850006,210.600006,207.449997,208.649994,199.263504,15418634
8/12/2021,210.25,214.199997,208.350006,208.899994,199.502258,27692208
8/13/2021,209.850006,212.300003,209.199997,211.449997,201.937531,18850939
8/16/2021,211.399994,213.25,210.5,210.899994,201.412262,11190075
8/17/2021,210.800003,211.5,208.800003,209.199997,199.788757,7858486
8/18/2021,209.600006,211.5,208.350006,208.949997,199.550003,10735658
8/20/2021,207,210.699997,206.699997,208.899994,199.502258,19421004
8/23/2021,209.5,210.199997,206,206.300003,197.019226,9936365
8/24/2021,207,207,204.699997,205.75,196.493958,12490094
8/25/2021,206.399994,207.899994,206,206.399994,197.114716,10586894
8/26/2021,206.399994,206.850006,204.350006,204.600006,195.395691,14836173
8/27/2021,205,206.850006,204.899994,205.899994,196.637207,10476384
8/30/2021,206,208.199997,206,208,198.642746,12084844
8/31/2021,208.050003,211.600006,207.25,211.300003,201.794281,25808430
9/1/2021,211,212.300003,209.300003,209.5,200.075272,16241960
9/2/2021,209,211.5,209,209.75,200.314026,14321164
9/3/2021,209.75,211.25,209.75,210.600006,201.125778,10228853
9/6/2021,211,211.199997,209.050003,209.300003,199.884262,10632156
9/7/2021,210.899994,214.350006,210.149994,211.75,202.224045,37489544
9/8/2021,212.25,213,209.699997,211.25,201.746536,17233315
9/9/2021,211.050003,213.899994,210.550003,212.649994,203.083542,19051252
9/13/2021,213.350006,215.149994,211.800003,214.149994,204.516068,16043896
9/14/2021,214.899994,217.25,214.199997,216.100006,206.378357,19621849
9/15/2021,217.100006,217.199997,215.300003,216,206.282852,20248758
9/16/2021,216.949997,233.649994,216.300003,230.75,220.369293,149238901
9/17/2021,233,237.300003,229.100006,231.149994,220.751297,79501805
9/20/2021,231,239.350006,230.25,233.75,223.234344,70390969
9/21/2021,234.949997,242.449997,231.699997,241.5,230.635681,56671832
9/22/2021,243.5,245.800003,240.699997,243.5,232.545715,52621868
9/23/2021,245,245.600006,241.699997,242.5,231.590698,21791090
